3d_rotation	rotate-3d
ac_unit	air-conditioner	Matches name/purpose but not design
ac_unit	snowflake	Matches design but not name/purpose
accessible	wheelchair-accessibility	See accessibleicon.org
add_alarm	alarm-plus
add_location	map-marker-plus
airport_shuttle	van-passenger
announcement	message-alert
beach_access	beach
casino	dice-5
collections_bookmark	book-multiple	?
comment	message-reply-text
control point	plus-circle-outline
create new folder	folder-plus
date range	calendar-range
description	file-document	?
directions subway	subway-variant
drafts	email-open
drive eta	car
edit	pencil
euro symbol	currency-eur
fiber manual record	record
fitness center	dumbbell
free breakfast	coffee	Saucer of stock icon is shifted to the right
functions	sigma
g translate	google-translate
gavel	gavel
hd	high-definition
keyboard voice	microphone
kitchen	fridge
lens	circle
local dining	silverware
local play	ticket
mail outline	email-outline
message	message-text
motorcycle	motorbike
music note	music-note
no sim	sim-off
note add	file-plus
pets	paw
pie chart	chart-pie
poll	poll-box
pool	pool	Matches name/purpose but not design
pool	swim	Matches design but not name/purpose
priority high	exclamation	Matches design but not name/purpose
priority high	priority-high	Matches name/purpose but not design
redeem	wallet-giftcard
room	map-marker
schedule	clock
sentiment dissatisfied	emoticon-sad
sentiment neutral	emoticon-neutral
sentiment satisfied	emoticon-happy
shop	shopping-music
straighten	ruler	?
swap vert	swap-vertical
turned in not	bookmark-outline
wrap text	wrap
child care	baby
battery charging 20	battery charging 20
battery charging 30	battery charging 30
battery charging 50	battery charging 40
battery charging 60	battery charging 60
battery charging 80	battery charging 80
battery charging 90	battery charging 90
battery charging full	battery charging
battery 20	battery 20
battery 30	battery 30
battery 60	battery 60
battery 80	battery 80
battery 90	battery 90
battery std	battery
battery alert	battery alert
border color	border color
format color text	format color text
link text	link
sentiment satisfied	emoticon happy
sentiment dissatisfied	emoticon sad
